Kanji,Onyomi,Kunyomi,Meaning
会,kaiカイ,a(u)あ(う),meeting; meet
同,douドウ,onajiおな(じ),"same, agree, equal"
事,jiジ,kotoこと,"matter, thing, fact, business, reason, possibly"
自,"ji, shiジ、 シ",mizuka(ra)みずか(ら),oneself
社,shaシャ,yashiroやしろ,"company, firm, office, association, shrine"
発,"hatsu, hotsuハツ、 ホツ",,"departure, discharge, emit, start from"
者,shaシャ,monoもの,"someone, person"
地,"chi, jiチ、 ジ",,"ground, earth"
業,gyouギョウ,wazaわざ,"business, vocation, arts, performance"
方,houホウ,kataかた,"direction, person, alternative"
新,shinシン,"atara(shii), ara(ta)あたら(しい)、 あら(た)",new
場,jouジョウ,baば,"location, place"
員,inイン,,"employee, member, number, the one in charge"
立,ritsuリツ,ta(tsu)た(つ),"stand up, rise"
開,kaiカイ,"hira(ku), a(keru)ひら(く)、 あ(ける)","open, unfold, unseal"
手,shuシュ,teて,hand
力,"ryoku, rikiリョク、 リキ",chikaraちから,"power, strength, strong, strain, bear up, exert"
問,monモン,to(u)と(う),"question, ask, problem"
代,daiダイ,ka(wari)か(わり),"substitute, change, convert, replace, period"
明,"mei, myouメイ、 ミョウ",aka(rui)あか(るい),"bright, light"
動,douドウ,ugo(ku)うご(く),"move, motion, change"
京,"kyou, kei, kinキョウ、 ケイ、 キン",miyakoみやこ,capital
目,"moku, bokuモク、 ボク",meめ,"eye, class, look, insight, experience"
通,tsuuツウ,"too(ru), kayo(u)とお(る)、かよ(う)","traffic, pass through, avenue, commute"
言,"gen, gonゲン、 ゴン","i(u), kotoい（う）、 こと","say, word"
理,riリ,,"logic, arrangement, reason, justice, truth"
体,taiタイ,karadaからだ,"body, substance, object, reality"
田,denデン,taた,"rice field, rice paddy"
主,shuシュ,"nushi, omoぬし、 おも","lord, chief, master, main thing, principal"
題,daiダイ,,"topic, subject"
意,iイ,,"idea, mind, heart, taste, thought"
不,"fu, buフ、 ブ",,"negative, non-, bad"
作,"saku, saサク、 サ",tsuku(ru)つく(る),"make, production, prepare, build"
用,youヨウ,mochi(iru)もち(いる),"utilize, business, service, use, employ"
度,"do, takuド、 タク","tabi, ta(i)たび、 た(い)","degrees, occurrence, time, counter for occurrences"
強,"kyou, gouキョウ、 ゴウ",tsuyo(i)つよ(い),strong
公,kouコウ,,"public, prince, official, governmental"
持,jiジ,mo(tsu)も(つ),"hold, have"
野,yaヤ,noの,"plains, field, rustic, civilian life"
以,iイ,mo(tte)もっ(て),"by means of, because, in view of, compared with"
思,shiシ,omo(u)おも(う),think
家,kaカ,"ie, ya, uchiいえ、 や、 うち","house, home, family, professional, expert"
世,"sei, seセイ、 セ",yoよ,"generation, world, society, public"
多,taタ,oo(i)おお(い),"many, frequent, much"
正,"sei, shouセイ、 ショウ","tada(shii), masa(ni)ただ(しい)、 まさ(に)","correct, justice, righteous"
安,anアン,yasu(i)やす(い),"safe, peaceful, cheap"
院,inイン,,"institution, temple, mansion, school"
心,shinシン,kokoroこころ,"heart, mind, spirit"
界,kaiカイ,,"world, boundary"
教,kyouキョウ,"oshi(eru), oso(waru)おし(える)、 おそ(わる)","teach, faith, doctrine"
文,"bun, monブン、 モン",fumiふみ,"sentence, literature, style, art"
元,"gen, ganゲン、 ガン",motoもと,"beginning, former time, origin"
重,"juu, chouジュウ、 チョウ","omo(i), kasa(neru)おも(い)、 かさ(ねる)","heavy, important, esteem, respect"
近,kinキン,chika(i)ちか(い),"near, early, akin, tantamount"
考,kouコウ,kanga(eru)かんが(える),"consider, think over"
画,"ga, kakuガ、 カク",kaku(suru)かく(する),"brush-stroke, picture"
海,kaiカイ,umiうみ,"sea, ocean"
売,baiバイ,u(ru)う(る),sell
知,chiチ,shi(ru)し(る),"know, wisdom"
道,douドウ,michiみち,"road-way, street, district, journey, course"
集,shuuシュウ,atsu(meru)あつ(める),"gather, meet"
別,betsuベツ,"waka(reru), wa(keru)わか(れる)、 わ(ける)","separate, branch off, diverge"
物,"butsu, motsuブツ、 モツ",monoもの,"thing, object, matter"
使,shiシ,tsuka(u)つか(う),"use, order, messenger, ambassador"
品,hinヒン,shinaしな,"goods, refinement, dignity, article"
計,keiケイ,haka(ru)はか(る),"plot, plan, scheme, measure"
死,shiシ,shi(nu)し(ぬ),"death, die"
特,tokuトク,,special
私,shiシ,"watakushi, watashiわたくし、 わたし","private, I, me"
始,shiシ,haji(meru)はじ(める),"commence, begin"
